id,id2,word_count
eng,ch1_1.txt,2114
eng,ch1_2.txt,1830
eng,ch1_3.txt,1997
eng,ch2_1.txt,1460
eng,ch2_2.txt,1453
eng,ch2_3.txt,1388
eng,ch3_1.txt,1929
eng,ch3_2.txt,1836
eng,ch3_3.txt,2006
eng,ch4_1.txt,1754
eng,ch4_2.txt,1664
eng,ch4_3.txt,2067
eng,ch5_1.txt,1318
eng,ch5_2.txt,1421
eng,ch5_3.txt,1509
eng,ch6_1.txt,1469
eng,ch6_2.txt,1293
eng,ch6_3.txt,1298
eng,ch7_1.txt,1661
eng,ch7_2.txt,1750
eng,ch7_3.txt,1694
eng,ch7_4.txt,1911
eng,ch7_5.txt,1797
eng,ch8_1.txt,1641
eng,ch8_2.txt,1429
eng,ch8_3.txt,1497
eng,ch9_1.txt,1698
eng,ch9_2.txt,1821
eng,ch9_3.txt,1726
eng,average,1670
,,
chang,ch1_1,1965
chang,ch1_2,1827
chang,ch1_3,1903
chang,ch2_1,1455
chang,ch2_2,1422
chang,ch2_3,1321
chang,ch3_1,1959
chang,ch3_2,1846
chang,ch3_3,1968
chang,ch4_1,1624
chang,ch4_2,1720
chang,ch4_3,2135
chang,ch5_1,1350
chang,ch5_2,1430
chang,ch5_3,1560
chang,ch6_1,1485
chang,ch6_2,1374
chang,ch6_3,1306
chang,ch7_1,1723
chang,ch7_2,1855
chang,ch7_3,1843
chang,ch7_4,1974
chang,ch7_5,1756
chang,ch8_1,1554
chang,ch8_2,1346
chang,ch8_3,1468
chang,ch9_1,1618
chang,ch9_2,1843
chang,ch9_3,1761
chang,average,1669
,,
deng,ch1_1,2175
deng,ch1_2,1936
deng,ch1_3,2101
deng,ch2_1,1544
deng,ch2_2,1533
deng,ch2_3,1314
deng,ch3_1,1979
deng,ch3_2,1853
deng,ch3_3,2055
deng,ch4_1,1771
deng,ch4_2,1761
deng,ch4_3,2074
deng,ch5_1,1347
deng,ch5_2,1459
deng,ch5_3,1576
deng,ch6_1,1493
deng,ch6_2,1400
deng,ch6_3,1307
deng,ch7_1,1702
deng,ch7_2,1835
deng,ch7_3,1759
deng,ch7_4,2000
deng,ch7_5,1797
deng,ch8_1,1645
deng,ch8_2,1386
deng,ch8_3,1472
deng,ch9_1,1744
deng,ch9_2,1852
deng,ch9_3,1794
deng,average,1713
,,
kao,ch1_1,2330
kao,ch1_2,2127
kao,ch1_3,2272
kao,ch2_1,1659
kao,ch2_2,1631
kao,ch2_3,1609
kao,ch3_1,2160
kao,ch3_2,2022
kao,ch3_3,2276
