"deng" "lijc" "lijh" "kao" "su" "wang" "wu" "yao" "chang"
"的" 5.85762387679066 5.39147245193857 5.85319615316258 5.27855575574861 6.16620518799184 5.12087990572439 6.21796676992397 6.12561959014574 4.94597596687872
"我" 3.5305134386643 3.6236709268607 3.60196686348467 3.43400467381415 3.40461964441854 3.18715851873014 3.50887074063644 3.44011245098765 3.25961829748561
"他" 2.56021995975374 2.68284824401246 2.68962657240467 2.4831867563373 2.40272515301661 2.25690104631647 2.66591570449639 2.63926906858031 2.33868524689488
"了" 2.37293538682234 1.54655783481903 1.92341870890025 1.76249174946929 3.10222967064996 2.15691175945434 2.55890359523139 2.63741954575719 2.34272442694133
"在" 1.69950787989879 1.81290946192675 1.51266810166078 1.59123749041155 1.80158845817546 1.45877227439917 1.75912888388247 1.86061996005031 1.49651620720994
"是" 1.58394931362196 1.59596176565353 1.8266553446948 1.74108496708707 1.62124744972311 1.62482591150948 1.71031634281423 1.59428867352223 1.67424012925376
"一" 1.59988842621187 1.43271399420041 0.649696873950907 2.29766130902474 1.7177936461673 1.52305110166768 1.96939829156106 1.81438188947252 1.7732000403918
"她" 1.3727560718057 1.47352593706369 1.38825806196805 1.3022459282516 1.17130574176625 1.18380173552834 1.4531117994931 1.44077827920397 1.31879228516611
"不" 1.08784443426112 1.23080227687681 1.13351369497818 1.32722050769752 1.05472165549403 1.0106060064993 1.13770768797522 1.10601464822076 1.25820458446935
"说" 0.777031738757945 0.88282676404253 1.23620134678805 0.881245874734645 0.972748469833868 1.00524943756026 0.914296442316718 0.841532884515795 0.99363829142684
"你" 0.918491362993365 0.906454730963377 1.03477556823792 0.972224699859072 0.894418536869717 0.699925008034853 0.918051253168122 0.893319523562921 0.714934868221751
"着" 0.888605526887291 0.683063043711739 0.922214103754024 0.547656849278413 0.473622850480909 0.885619397921651 0.64770487186708 0.614041577273064 0.842169039684944
"就" 0.705305732103365 0.610031145956396 0.612176385789609 0.586902616979146 0.641212474497231 0.669571117380281 0.747207359429269 0.565953983872161 0.773502978895284
"地" 0.71128289932458 0.543443239179465 1.11574083216493 0.617228892020622 0.672180122413291 0.169624683069671 0.76034919740918 0.686172967374417 0.640210037362415
"人" 0.629594947301309 0.723874986575019 0.62007543592883 0.702856021549494 0.573812299621102 0.776702496161126 0.645827466441378 0.665828216320189 0.500858325759871
"有" 0.587754776752804 0.674471055740522 0.750409763225972 0.770644165759852 0.510055377440979 0.54815555476199 0.694640007509622 0.61034253162684 0.472584065434717
"上" 0.639556892670001 0.517667275265815 0.499614921305713 0.594038211106552 0.637569221801224 0.566010784558797 0.63644043931287 0.675075830435748 0.620014137130163
"到" 0.484150544918412 0.627215121898829 0.564782084954284 0.752805180441336 0.451763334304867 0.660643502481877 0.627053412184361 0.593696826218836 0.573563566595981
"这" 0.549899384351776 0.414563419611213 0.584529710302336 0.597606008170255 0.592028563101137 0.744563082526872 0.521918708345067 0.458681660131686 0.676562657780471
"我们" 0.5459146062043 0.532703254215444 0.562807322419479 0.522682269832492 0.571990673273098 0.473163589615398 0.568853843987609 0.538211141525486 0.430172674946986
"来" 0.48614293399215 0.397379443668779 0.450245857935583 0.73318229659097 0.562882541533081 0.446380744920187 0.563221627710504 0.51971591329437 0.537210946177926
"都" 0.531967882688131 0.395231446675975 0.412725369774285 0.451326328558432 0.683109880501312 0.555297646680713 0.49188022153384 0.473477842716579 0.42815308492376
"那" 0.504074435655795 0.36730748576952 0.533185884397401 0.347860213711044 0.459049839696881 0.664214548441238 0.529428330047874 0.458681660131686 0.508936685852772
"一个" 0.543922217130561 0.479003329395339 0.195501490945714 0.476300908004353 0.845234625473623 0.323179659322215 0.583873087393223 0.638085373973515 0.199939412299303
"和" 0.428363650853739 0.545591236172269 0.481842058492466 0.312182243074014 0.59385018944914 0.444595221940506 0.467473950999718 0.434637863431235 0.367565384227002
"去" 0.516028770098225 0.289979594028568 0.473943008353246 0.551224646342116 0.378898280384728 0.392815055529765 0.497512437810945 0.493822593770807 0.361506614157326
"也" 0.436333207148692 0.429599398560842 0.47196824581844 0.467381415345095 0.22406004080443 0.533871370924544 0.45808692387121 0.397647406969002 0.523073816015349
"过" 0.48614293399215 0.487595317366556 0.416674894843895 0.428135647644362 0.404401049256776 0.408884762346891 0.46935135642542 0.449434046016128 0.379682924366354
"把" 0.344683309756729 0.289979594028568 0.339659155986493 0.595822109638404 0.584742057709123 0.398171624468807 0.48061578897963 0.493822593770807 0.258507522972837
"里" 0.424378872706262 0.363011491783912 0.321886293173246 0.510194980109531 0.475444476828913 0.314252044423812 0.488125410682437 0.53081305023304 0.286781783297991
"盖茨比" 0.535952660835608 0.575663194071528 0.543059697071427 0.504843284513977 0.531914893617021 0 0.499389843236647 0.488274025301472 0
"看" 0.338706142535514 0.506927290301794 0.422599182448311 0.394241575539183 0.351573885164675 0.426739992143699 0.360461841734723 0.321816971221425 0.49277996566697
"汤姆" 0.388515869378972 0.418859413596821 0.394952506961038 0.356779706370302 0.386184785776741 0.408884762346891 0.356707030883319 0.364355996152993 0.422094314854085
"个" 0.448287541591122 0.491891311352164 0.550958747210648 0.219419519417736 0.311498105508598 0.341034889119023 0.375481085140336 0.344011245098765 0.363526204180551
"很" 0.324759419019346 0.279239609064547 0.562807322419479 0.349644112242896 0.493660740308948 0.31068099846445 0.345442598329109 0.336613153806318 0.21407654246188
"又" 0.338706142535514 0.289979594028568 0.349532968660519 0.442406835899174 0.216773535412416 0.298182337606685 0.452454707594105 0.377302655914774 0.325153993739271
"要" 0.253033412364767 0.363011491783912 0.323861055708051 0.454894125622135 0.251384436024483 0.35710459593615 0.307894489815076 0.349559813568099 0.418055134807634
"什么" 0.328744197166823 0.292127591021373 0.246845316850649 0.379970387284371 0.408044301952783 0.273185015891155 0.362339247160424 0.344011245098765 0.286781783297991
"得" 0.257018190512243 0.262055633122114 0.353482493730129 0.367483097561411 0.285995336636549 0.330321751240938 0.306017084389374 0.319967448398313 0.367565384227002
"想" 0.41441692733757 0.259907636129309 0.385078694287012 0.171254259057745 0.309676479160595 0.441024175981145 0.214024218529992 0.281127469112969 0.335251943855397
"走" 0.28491163754458 0.307163569971002 0.426548707517921 0.324669532796975 0.233168172544448 0.326750705281577 0.315404111517882 0.284826514759192 0.296879733414117
"从" 0.344683309756729 0.378047470733541 0.244870554315844 0.258665287118469 0.298746721072574 0.219619326500732 0.373603679714634 0.392098838499667 0.290820963344441
"会" 0.344683309756729 0.345827515841478 0.430498232587531 0.239042403268102 0.287816962984553 0.344605935078384 0.229043461935605 0.251535103943183 0.280723013228315
"黛西" 0.378553924010281 0.390935452690366 0 0.362131401965856 0 0.460664928757633 0.339810382052004 0.33846267662943 0.391800464505705
"他们" 0.332728975314299 0.268499624100526 0.343608681056103 0.246177997395508 0.309676479160595 0.255329786094347 0.302262273537971 0.336613153806318 0.203978592345754
"还" 0.243071466996075 0.313607560949415 0.199451016015324 0.29612715628735 0.244097930632469 0.337463843159661 0.24594011076692 0.244137012650736 0.315056043623144
"对" 0.247056245143552 0.287831597035764 0.223148166432986 0.265800881245875 0.256849315068493 0.307109952505089 0.244062705341218 0.355108382037434 0.220135312531556
"没有" 0.28491163754458 0.264203630114918 0.306088192894804 0.235474606204399 0.506412124744972 0.0946327179230797 0.229043461935605 0.303321742990309 0.151469251741896
"没" 0.227132354406168 0.289979594028568 0.179703390667272 0.264016982714023 0.0382541533080734 0.464235974716995 0.255327137895428 0.218243693127173 0.349389074017974
"两" 0.211193241816262 0.216947696273225 0.20537530361974 0.356779706370302 0.238633051588458 0.230332464378817 0.242185299915517 0.216394170304062 0.250429162879935
"但" 0.171345460341495 0.541295242186661 0.52528683425818 0.119521201634051 0.0127513844360245 0.419597900224976 0.107012109264996 0.116519937856033 0.201959002322529
"只" 0.215178019963739 0.221243690258834 0.185627678271688 0.267584779777726 0.267779073156514 0.283898153769239 0.219656434807097 0.199748464896057 0.236292032717358
"跟" 0.255025801438505 0.221243690258834 0.238946266711428 0.328237329860678 0.0819731856601574 0.208906188622648 0.214024218529992 0.234889398535178 0.266585883065738
"吗" 0.243071466996075 0.27064762109333 0.240921029246233 0.155199172271081 0.282352083940542 0.23926007927722 0.219656434807097 0.21454464748095 0.14137130162577
"让" 0.330736586240561 0.294275588014177 0.284365805011947 0.0963305207199815 0.353395511512679 0.183908866907117 0.127663568947714 0.151660871495154 0.191861052206402
"知道" 0.245063856069813 0.253463645150897 0.236971504176623 0.217635620885884 0.216773535412416 0.192836481805521 0.208392002252887 0.199748464896057 0.159547611834798
"而" 0.29686597198701 0.199763720330792 0.319911530638441 0.156983070802933 0.140265228796269 0.217833803521051 0.191495353421571 0.210845601834727 0.0929011410683631
"像" 0.203223685521309 0.225539684244442 0.215249116293766 0.228339012076993 0.140265228796269 0.221404849480413 0.168966488313151 0.188651327957387 0.157528021811572
"下" 0.197246518300094 0.231983675222855 0.173779103062857 0.149847476675527 0.240454677936462 0.217833803521051 0.157702055758941 0.168306576903159 0.193880642229627
"时" 0.105596620908131 0.16324777145312 0.246845316850649 0.162334766398487 0.276887204896532 0.230332464378817 0.144560217779029 0.273729377820522 0.0868423709986873
"起来" 0.151421569604112 0.234131672215659 0.191551965876103 0.133792389888863 0.249562809676479 0.223190372460094 0.123908758096311 0.166457054080047 0.205998182368979
"自己" 0.211193241816262 0.214799699280421 0.0987381267402595 0.18909324437626 0.165767997668318 0.258900832053709 0.163334272036046 0.194199896426722 0.14137130162577
"好" 0.183299794783925 0.191171732359575 0.183652915736883 0.173038157589596 0.162124744972311 0.212477234582009 0.137050596076223 0.146112303025819 0.250429162879935
"大" 0.135482457014206 0.184727741381162 0.142182902505974 0.222987316481439 0.196735645584378 0.162482591150948 0.174598704590256 0.179403713841829 0.189841462183177
"事" 0.143452013309159 0.210503705294813 0.157981002784415 0.246177997395508 0.0601136694841154 0.266042923972432 0.161456866610345 0.159058962787601 0.185802282136726
"给" 0.191269351078879 0.156803780474707 0.195501490945714 0.115953404570348 0.193092392888371 0.183908866907117 0.174598704590256 0.208996079011615 0.165606381904473
"中" 0.255025801438505 0.0945118676833852 0.15600624024961 0.226555113545142 0.122048965316234 0.137485269435418 0.195250164272975 0.201597987719168 0.153488841765122
"先生" 0.151421569604112 0.18902373536677 0.169829577993246 0.183741548780705 0.154838239580297 0.192836481805521 0.157702055758941 0.147961825848931 0.191861052206402
"然后" 0.227132354406168 0.287831597035764 0.238946266711428 0.121305100165903 0.162124744972311 0.0946327179230797 0.172721299164555 0.164607531256936 0.0242350802787034
"因为" 0.159391125899066 0.165395768445924 0.201425778550129 0.160550867866636 0.204022150976392 0.187479912866479 0.152069839481836 0.151660871495154 0.0828031909522367
"用" 0.185292183857664 0.150359789496295 0.124410039692727 0.142711882548121 0.18762751384436 0.164268114130629 0.17835351544166 0.208996079011615 0.123194991416742
"这个" 0.163375904046542 0.109547846633015 0.167854815458441 0.169470360525893 0.173054503060332 0.155340499232225 0.206514596827185 0.216394170304062 0.0908815510451378
"已经" 0.165368293120281 0.2040597143164 0.219198641363376 0.214067823822181 0.0837948120081609 0.116058993679249 0.206514596827185 0.146112303025819 0.111077451277391
"吧" 0.173337849415234 0.0902158736977768 0.183652915736883 0.0731398398059118 0.191270766540367 0.219619326500732 0.127663568947714 0.127617074794703 0.199939412299303
"几" 0.143452013309159 0.143915798517882 0.197476253480519 0.192661041439963 0.142086855144273 0.144627361354141 0.133295785224819 0.13501516608715 0.131273351509644
"才" 0.109581399055608 0.152507786489099 0.140208139971168 0.151631375207378 0.105654328184203 0.199978573724244 0.144560217779029 0.12391802914848 0.222154902554781
"话" 0.115558566276823 0.126731822575448 0.130334327297143 0.20158053409922 0.143908481492276 0.162482591150948 0.172721299164555 0.160908485610712 0.115116631323841
"时候" 0.24904863421729 0.219095693266029 0.0631924011137661 0.15341527373923 0.0564704167881084 0.176766774988394 0.20088238055008 0.129466597617815 0.0969403211148137
"起" 0.161383514972804 0.12243582858984 0.128359564762337 0.144495781079972 0.129335470708248 0.162482591150948 0.144560217779029 0.147961825848931 0.181763102090276
"见" 0.141459624235421 0.133175813553861 0.126384802227532 0.140927984016269 0.127513844360245 0.155340499232225 0.146437623204731 0.164607531256936 0.171665151974149
"点" 0.181307405710187 0.0730318977553431 0.144157665040779 0.160550867866636 0.173054503060332 0.128557654537014 0.172721299164555 0.147961825848931 0.105018681207715
"现在" 0.143452013309159 0.221243690258834 0.144157665040779 0.155199172271081 0.0947245700961819 0.157126022211906 0.150192434056134 0.155359917141378 0.0747248308593356
"坐" 0.175330238488972 0.156803780474707 0.161930527854026 0.123088998697754 0.142086855144273 0.121415562618291 0.138928001501924 0.12391802914848 0.151469251741896
"出" 0.147436791456636 0.161099774460316 0.150081952645194 0.133792389888863 0.116584086272224 0.139270792415098 0.140805406927626 0.157209439964489 0.143390891648995
"能" 0.141459624235421 0.128879819568253 0.163905290388831 0.108817810442942 0.174876129408336 0.187479912866479 0.116399136393504 0.11282089220981 0.129253761486418
"向" 0.145444402382897 0.0859198797121684 0.0967633642054543 0.185525447312557 0.214951909064413 0.110702424740206 0.138928001501924 0.147961825848931 0.0727052408361103
"问" 0.105596620908131 0.148211792503491 0.189577203341298 0.169470360525893 0.03643252696007 0.162482591150948 0.108889514690697 0.0961751868018051 0.183782692113501
"站" 0.119543344424299 0.139619804532274 0.163905290388831 0.128440694293309 0.116584086272224 0.110702424740206 0.133295785224819 0.140563734556484 0.127234171463193
"但是" 0.169353071267757 0.0150359789496295 0.00789905013922076 0.0945466221881299 0.245919556980472 0.0196407527764882 0.191495353421571 0.223792261596508 0.169645561950924
"开" 0.119543344424299 0.103103855654602 0.114536227018701 0.167686461994042 0.123870591664238 0.149983930293183 0.107012109264996 0.116519937856033 0.14137130162577
"那个" 0.139467235161682 0.0902158736977768 0.104662414344675 0.0820593324651694 0.234989798892451 0.0999892868621219 0.163334272036046 0.170156099726271 0.0504897505806321
"做" 0.115558566276823 0.139619804532274 0.136258614901558 0.139144085484418 0.120227338968231 0.123201085597972 0.105134703839294 0.142413257379596 0.125214581439968
"盖兹比" 0 0 0 0 0 0.57136735349784 0 0 0.545289306270827
"车" 0.139467235161682 0.092363870690581 0.134283852366753 0.0963305207199815 0.0929029437481784 0.189265435846159 0.0788510278794706 0.144262780202708 0.145410481672221
"道" 0.241079077922337 0.0343679518848674 0.0355457256264934 0.101682216315536 0.193092392888371 0.11963003963861 0.125786163522013 0.146112303025819 0.0949207310915884
"手" 0.107589009981869 0.139619804532274 0.100712889275065 0.151631375207378 0.107475954532206 0.112487947719887 0.125786163522013 0.127617074794703 0.119155811370292
"啊" 0.111573788129346 0.08162388572656 0.185627678271688 0.0463813618281392 0.149373360536287 0.23926007927722 0.0619543790481554 0.040689502108456 0.171665151974149
"声音" 0.109581399055608 0.128879819568253 0.108611939414285 0.124872897229606 0.131157097056252 0.0999892868621219 0.150192434056134 0.129466597617815 0.105018681207715
"头" 0.101611842760654 0.137471807539469 0.108611939414285 0.114169506038497 0.0947245700961819 0.144627361354141 0.122031352670609 0.118369460679145 0.125214581439968
"家" 0.133490067940467 0.092363870690581 0.112561464483896 0.1177373031022 0.112940833576217 0.11963003963861 0.103257298413592 0.110971369386698 0.121175401393517
"听" 0.0876651192444861 0.120287831597036 0.10663717687948 0.123088998697754 0.0765083066161469 0.130343177516695 0.0995024875621891 0.10172375527114 0.165606381904473
"再" 0.093642286465701 0.124583825582644 0.100712889275065 0.158766969334784 0.0801515593121539 0.107131378780845 0.088238055007979 0.0906266183324702 0.167625971927699
"次" 0.121535733498037 0.126731822575448 0.073066213787792 0.0963305207199815 0.142086855144273 0.103560332821483 0.112644325542101 0.122068506325368 0.10299909118449
"出来" 0.099619453686916 0.0880678767049726 0.0868895515314283 0.13022459282516 0.163946371320315 0.0874906260043567 0.0995024875621891 0.0961751868018051 0.123194991416742
"位" 0.0637564503596262 0.0579959188057137 0.0651671636485713 0.196228838503666 0.0200378898280385 0.210691711602328 0.0826058387308739 0.0721313901013538 0.191861052206402
"这样" 0.0697336175808412 0.0880678767049726 0.0789905013922076 0.151631375207378 0.10929758088021 0.132128700496375 0.0863606495822773 0.0795294813938004 0.149449661718671
"一样" 0.147436791456636 0.0880678767049726 0.00592428760441557 0.164118664930339 0.102011075488196 0.0982037638824412 0.138928001501924 0.118369460679145 0.0626072907199838
"威尔逊" 0.163375904046542 0 0.15995576531922 0.144495781079972 0.158481492276304 0 0.142682812353328 0.146112303025819 0
"停" 0.105596620908131 0.0708839007625389 0.128359564762337 0.105250013379239 0.0929029437481784 0.0982037638824412 0.122031352670609 0.110971369386698 0.0868423709986873
"被" 0.147436791456636 0.180431747395554 0.150081952645194 0.0731398398059118 0.0947245700961819 0.0749919651465914 0.0713414061766638 0.0998742324480284 0.0444309805109563
"进" 0.103604231834393 0.0988078616689937 0.132309089831948 0.0588686515510998 0.158481492276304 0.105345855801164 0.0919928658593823 0.0887770955093586 0.084822780975462
"小" 0.105596620908131 0.0837718827193642 0.0612176385789609 0.124872897229606 0.0910813174001749 0.117844516658929 0.127663568947714 0.122068506325368 0.0727052408361103
"张" 0.093642286465701 0.0966598646761894 0.0928138391358439 0.098114419251833 0.0874380647041679 0.117844516658929 0.107012109264996 0.127617074794703 0.0888619610219126
"开始" 0.125520511645514 0.135323810546665 0.112561464483896 0.0499491588918422 0.143908481492276 0.101774809841803 0.093870271285084 0.10172375527114 0.0403918004645057
"可以" 0.109581399055608 0.103103855654602 0.0691166887181816 0.149847476675527 0.0564704167881084 0.0642788272685069 0.138928001501924 0.11282089220981 0.0828031909522367
"乔丹" 0.149429180530374 0 0.150081952645194 0.144495781079972 0.153016613232294 0 0.137050596076223 0.138714211733373 0
"觉得" 0.125520511645514 0.128879819568253 0.183652915736883 0.0856271295288724 0.0418974060040804 0.0928471949433989 0.0957476767107857 0.0684323444551306 0.070685650812885
"告诉" 0.135482457014206 0.0945118676833852 0.0592428760441557 0.155199172271081 0.0892596910521714 0.0553512123701032 0.118276541819206 0.109121846563587 0.0545289306270827
"等" 0.0876651192444861 0.0859198797121684 0.082940026461818 0.15341527373923 0.0728650539201399 0.0999892868621219 0.110766920116399 0.103573278094252 0.0646268807432091
"年" 0.101611842760654 0.105251852647406 0.0888643140662335 0.112385607506645 0.0746866802681434 0.0857051030246759 0.0995024875621891 0.0980247096249168 0.0969403211148137
"天" 0.0956346755394393 0.0966598646761894 0.0691166887181816 0.126656795761457 0.0947245700961819 0.0892761489840374 0.0995024875621891 0.0980247096249168 0.0828031909522367
"便" 0.0418401705485047 0.051551927827301 0.0138233377436363 0.00535169559555453 0.0582920431361119 0.478520158554441 0.00750962170280672 0.0573352075164608 0.115116631323841
"还有" 0.113566177203084 0.0859198797121684 0.073066213787792 0.0963305207199815 0.0601136694841154 0.126772131557333 0.122031352670609 0.107272323740475 0.0605877006967586
"句" 0.107589009981869 0.105251852647406 0.0908390766010387 0.142711882548121 0.0655785485281259 0.0910616719637182 0.0769736224537689 0.0906266183324702 0.0787640109057861
"前" 0.0836803410970094 0.128879819568253 0.0888643140662335 0.0891949265925754 0.0837948120081609 0.0946327179230797 0.0657091898995588 0.0906266183324702 0.127234171463193
