x,y
:),0.111111111
_ass,-0.555555556
_ding,0.777777778
_god,0.777777778
_so,0.333333333
1儿巴经,0.555555556
2气斗狠,-1
3x,0.333333333
848,0.555555556
8错,0.333333333
b4,-0.777777778
bc,-0.555555556
bd,-0.555555556
bs,-0.777777778
bt,0.555555556
bucuo,0.555555556
cc,0.555555556
cool,0.555555556
cool毙,0.777777778
ding,0.777777778
dingding,0.555555556
ft,0.555555556
gun,-0.555555556
gx,0.777777778
haha,0.555555556
happy,0.555555556
hc,-0.555555556
hiahia,0.333333333
hj,-0.777777778
jjww,-0.777777778
jr,-0.777777778
kaka,0.333333333
kao,-0.555555556
leecher,-0.555555556
lj,-0.555555556
lm,-0.555555556
lol,0.777777778
md,-0.777777778
mpj,-0.555555556
nb,0.777777778
nnd,-0.555555556
o(∩_∩)o,0.555555556
pf,0.555555556
pfpf,0.777777778
qiang,0.333333333
ry,-0.777777778
sb,-0.555555556
sigh,-0.333333333
sjb,-0.555555556
sl,-0.333333333
sm,-0.777777778
tmd,-1
tnnd,-0.555555556
xixi,0.555555556
yun,0.555555556
ze,-0.333333333
阿q,-0.333333333
阿党比周,-0.555555556
阿斗,-0.777777778
阿飞,-0.333333333
阿附,-0.777777778
阿其所好,-0.555555556
阿权膴仕,-0.777777778
阿时趋俗,-0.333333333
阿世媚俗,-0.555555556
阿世取容,-0.333333333
阿意取容,-0.333333333
阿谀,-0.422787194
阿谀谄媚,-0.555555556
阿谀逢迎,-0.555555556
阿谀奉承,-0.555555556
阿谀取容,-0.555555556
阿谀示好,-0.082266508
阿谀顺旨,-0.555555556
阿尊事贵,-0.555555556
哎呀,-0.06779661
哀哀,-0.555555556
哀哀父母,-0.777777778
哀哀切切,-1
哀哀欲绝,-1
哀兵必胜,0.777777778
哀辞,-0.555555556
哀悼,-0.3843328965
哀悼者,-0.139785988
哀的美敦书,-0.555555556
哀而不伤,0.333333333
哀感天地,-0.777777778
哀感顽艳,0.555555556
哀感中年,-0.555555556
哀告,-0.555555556
哀嚎,-1
哀号,-0.6065551185
哀鸿,-1
哀鸿遍地,-0.555555556
哀鸿遍野,-0.777777778
哀毁骨立,-1
哀毁瘠立,-0.555555556
哀叫,-1
哀矜,-0.333333333
哀乐,-0.555555556
哀梨蒸食,-0.777777778
哀怜,-0.3316432185
哀悯,-0.555555556
哀鸣,-1
哀莫大于心死,-1
哀凄,-0.213110237
哀戚,-0.360258795
哀启,-0.555555556
哀泣,-0.3843328965
哀切,-0.555555556
哀求,0.4090378305
哀荣,-0.555555556
哀伤,-0.519926117
哀声叹气,-0.555555556
哀丝豪竹,0.333333333
哀思,-0.555555556
哀思如潮,-1
哀诉,-0.382601763
哀叹,-0.602755473
哀天叫地,-1
哀痛,-0.492691507
哀痛欲绝,-1
哀婉,-0.111111111
哀惜,-0.203640678
哀艳,0.333333333
哀怨,-0.494502388
哀子,-0.555555556
唉声叹气,-0.3322480155
唉呀,-0.06779661
唉哟,-0.033898305
唉唷,-0.033898305
挨打,-0.307472068
挨饿,-0.203389831
挨饿受冻,-0.147144271
挨告,-0.220338983
挨轰,-0.13559322
皑皑,0.111111111
癌细胞,-0.089115932
癌症,-0.06779661
矮墩墩,-0.111111111
矮化,-0.004823051
矮人看场,-0.555555556
矮小,-0.27522278
矮小的东西,-0.101125424
矮小的人,-0.108411661
矮子,-0.333333333
矮子看戏,-0.555555556
蔼然,0.333333333
蔼然可亲,0.555555556
蔼然仁者,0.555555556
蔼如,0.333333333
爱别离苦,-1
爱博而情不专,-0.555555556
爱不忍释,0.777777778
爱不释手,1
爱才如渴,0.555555556
爱才如命,0.555555556
爱才若渴,0.555555556
爱财如命,-0.555555556
爱称,0.777777778
爱吃,-0.285876915
爱宠,0.555555556
爱搭不理,-0.555555556
爱打趣,0.196668743764217
爱戴,0.693220233577919
爱发牢骚,-0.333333333
爱抚,0.38196867235437
爱富嫌贫,-0.555555556
爱管闲事,-0.232793446
爱管闲事的人,-0.107635525
爱国,0.584344283582301
爱国如家,0.555555556
爱国心,0.447822347039996
爱国主义,0.555555556
爱好,0.533311045269087
爱好和平,0.719859086859563
爱和关心,0.599813275795632
爱鹤失众,-0.555555556
爱护,0.485595652755933
爱老虎油,1
爱礼存羊,0.333333333
爱理不理,-0.111111111
爱怜,0.406450534757098
爱恋,0.777777778
爱侣,0.333333333
爱毛反裘,-1
爱美的,0.555555556
爱面子,-0.1955277965
爱民如子,0.555555556
爱莫能助,-0.4578643375
爱莫之助,-0.555555556
爱慕,1
爱慕虚荣,-0.217008712
爱闹事,-0.164555932
爱情,0.599458545043592
爱人,0.49444249405601
爱人儿,0.555555556
爱人好士,0.555555556
爱人利物,0.555555556
爱人如己,0.288329341428917
爱人以德,0.555555556
爱日惜力,0.555555556
爱如己出,0.777777778
爱如珍宝,0.777777778
爱上,0.517561646257098
爱生恶死,0.555555556
爱耍性格,-0.138081458
爱说话,0.34276469360691
爱素好古,0.555555556
爱挑剔,-0.073451164
爱透了,0.327434879352993
爱屋及乌,0.555555556
爱惜,0.566195937356084
爱惜羽毛,0.555555556
爱小,-0.333333333
爱心,0.611409376949908
爱悦,0.555555556
爱则加诸膝，恶则坠诸渊,-0.777777778
爱憎分明,0.333333333
爱之欲其生，恶之欲其死,-0.777777778
爱作弄人,-0.05142
碍口,-0.555555556
碍口识羞,-0.555555556
碍面子,-0.555555556
碍事,-0.333333333
碍手碍脚,-0.335547651
碍眼,-0.352158049
碍于,-0.093065085
碍足碍手,-0.555555556
嗳声叹气,-0.555555556
嗳呀呀,0.333333333
暧暧,-0.333333333
暧昧,0.243879473
暧昧不明,-0.169062819
暧昧模煳,-0.06779661
安安静静,0.324648582100104
安安稳稳,0.490964124116938
安邦定国,1
安不忘危,0.333333333
安步当车,0.333333333
安常处顺,0.555555556
安常履顺,0.555555556
安常守分,1
安常守故,0.555555556
安常习故,0.555555556
安厝,-0.555555556
安打,0.0271950271353017
安定,0.591997114360421
安定和平,0.667434045102309
安定团结,0.555555556
安定援助,0.501914401035961
安堵乐业,0.555555556
安堵如故,0.777777778
安度,0.381405028054171
安分,0.555555556
安分守己,0.555555556
安分知足,0.555555556
安抚,0.333333333
安富恤贫,0.555555556
安富尊荣,0.555555556
安富尊容,0.333333333
安故重迁,-0.555555556
安国富民,0.555555556
安国宁家,0.333333333
安好,0.420786523997987
安和乐利,0.666798553334741
安魂定魄,0.555555556
安家乐业,0.555555556
安静,0.324648582100104
安静下来,-0.045528915
安居,0.555555556
安居乐业,0.555555556
安康,0.38055526208327
安可,0.581129359234881
安澜,0.333333333
安老怀少,0.555555556
安乐,0.512628285749439
安乐窝,0.333333333
安了心,0.517218055875386
安良除暴,0.555555556
安谧,0.333333333
安眠,0.555555556
安命,0.369620648923081
安内攘外,0.555555556
安宁,0.459432736555736
安贫乐道,0.333333333
安全,0.333333333
安全产品,0.399511948367614
安全防御,0.319140480617012
安全改进,0.525168075084948
安全感,0.546177563463773
安全利益,0.473899522034184
安全突破,0.0857129611883832
安全网,0.35129526577485
安全又新,0.391534642800309
安然,0.497202936337904
安然举首,0.777777778
安然无事,0.777777778
安然无恙,0.111111111
安忍无亲,0.555555556
安如盘石,0.333333333
安如泰山,0.555555556
安身,0.49166637358327
安身乐业,0.555555556
安身立命,0.294256487080434
安身为乐,0.555555556
安神,0.555555556
安神定魄,0.555555556
安生,0.555555556
安生服业,0.555555556
安生乐业,0.555555556
安适,0.64623878016984
安睡,0.42777719116654
安泰,0.26944415108327
安恬,0.777777778
安土乐业,0.555555556
安土重迁,0.777777778
安外,0.555555556
安危相易,-0.111111111
安危与共,0.555555556
安慰,0.555555556
安慰安慰,-0.352643593
安稳,0.490964124116938
安息,0.555555556
安闲,0.111111111
安闲自得,0.333333333
安闲自在,0.555555556
安详,0.38055526208327
安祥,0.494022508647306
安歇,0.555555556
安心,0.664436378660442
安心定志,0.555555556
安心乐业,0.555555556
安心乐意,0.555555556
安心落意,0.555555556
安逸,0.38055526208327
